code,effective_date
000652,2006-04-02
000659,2006-04-02
000666,2006-04-02
000680,2006-04-02
000682,2006-04-02
000698,2006-04-02
000707,2006-04-02
000708,2006-04-02
000709,2006-04-02
000717,2006-04-02
000725,2006-04-02
000726,2006-04-02
000727,2006-04-02
000729,2006-04-02
000733,2006-04-02
000735,2006-04-02
000737,2006-04-02
000758,2006-04-02
000767,2006-04-02
000768,2006-04-02
000778,2006-04-02
000780,2006-04-02
000786,2006-04-02
000792,2006-04-02
000800,2006-04-02
000806,2006-04-02
000807,2006-04-02
000822,2006-04-02
000825,2006-04-02
000828,2006-04-02
000839,2006-04-02
000858,2006-04-02
000866,2006-04-02
000875,2006-04-02
000878,2006-04-02
000886,2006-04-02
000895,2006-04-02
000898,2006-04-02
000900,2006-04-02
000912,2006-04-02
000916,2006-04-02
000917,2006-04-02
000920,2006-04-02
000927,2006-04-02
000930,2006-04-02
000932,2006-04-02
000933,2006-04-02
000937,2006-04-02
000939,2006-04-02
000949,2006-04-02
000956,2006-04-02
000959,2006-04-02
000960,2006-04-02
000962,2006-04-02
000968,2006-04-02
000969,2006-04-02
000970,2006-04-02
000975,2006-04-02
000983,2006-04-02
002024,2006-04-02
600000,2006-04-03
600001,2006-04-03
600002,2006-04-03
600004,2006-04-03
600005,2006-04-03
600006,2006-04-03
600007,2006-04-03
600008,2006-04-03
600009,2006-04-03
600010,2006-04-03
600011,2006-04-03
600012,2006-04-03
600015,2006-04-03
600016,2006-04-03
600018,2006-04-03
600019,2006-04-03
600020,2006-04-03
600021,2006-04-03
600022,2006-04-03
600026,2006-04-03
600027,2006-04-03
600028,2006-04-03
600029,2006-04-03
600030,2006-04-03
600031,2006-04-03
600033,2006-04-03
600035,2006-04-03
600036,2006-04-03
600037,2006-04-03
600050,2006-04-03
600057,2006-04-03
600058,2006-04-03
600060,2006-04-03
600062,2006-04-03
600068,2006-04-03
600073,2006-04-03
600078,2006-04-03
600085,2006-04-03
600087,2006-04-03
600088,2006-04-03
600089,2006-04-03
600091,2006-04-03
600096,2006-04-03
600098,2006-04-03
600100,2006-04-03
600102,2006-04-03
600103,2006-04-03
600104,2006-04-03
600108,2006-04-03
600110,2006-04-03
600115,2006-04-03
600117,2006-04-03
600121,2006-04-03
600123,2006-04-03
600125,2006-04-03
600126,2006-04-03
600138,2006-04-03
600153,2006-04-03
600166,2006-04-03
600170,2006-04-03
600171,2006-04-03
600177,2006-04-03
600183,2006-04-03
600188,2006-04-03
600190,2006-04-03
600196,2006-04-03
600198,2006-04-03
600200,2006-04-03
600205,2006-04-03
600207,2006-04-03
600210,2006-04-03
600215,2006-04-03
600220,2006-04-03
600221,2006-04-03
600231,2006-04-03
600236,2006-04-03
600256,2006-04-03
600266,2006-04-03
600267,2006-04-03
600269,2006-04-03
600270,2006-04-03
600282,2006-04-03
600296,2006-04-03
600307,2006-04-03
600308,2006-04-03
600309,2006-04-03
600320,2006-04-03
600331,2006-04-03
600333,2006-04-03
600339,2006-04-03
600348,2006-04-03
600350,2006-04-03
600357,2006-04-03
600362,2006-04-03
600377,2006-04-03
600380,2006-04-03
600383,2006-04-03
600399,2006-04-03
600408,2006-04-03
600418,2006-04-03
600428,2006-04-03
600500,2006-04-03
600508,2006-04-03
600519,2006-04-03
600548,2006-04-03
600550,2006-04-03
600569,2006-04-03
600581,2006-04-03
600583,2006-04-03
600585,2006-04-03
600591,2006-04-03
600597,2006-04-03
600598,2006-04-03
600600,2006-04-03
600601,2006-04-03
600602,2006-04-03
600608,2006-04-03
600621,2006-04-03
600631,2006-04-03
600635,2006-04-03
600637,2006-04-03
600639,2006-04-03
600642,2006-04-03
600643,2006-04-03
600649,2006-04-03
600652,2006-04-03
600653,2006-04-03
600654,2006-04-03
600660,2006-04-03
600662,2006-04-03
600663,2006-04-03
600674,2006-04-03
600675,2006-04-03
600688,2006-04-03
600690,2006-04-03
600694,2006-04-03
600705,2006-04-03
600707,2006-04-03
600717,2006-04-03
600718,2006-04-03
600724,2006-04-03
600726,2006-04-03
600739,2006-04-03
600740,2006-04-03
600741,2006-04-03
600744,2006-04-03
600747,2006-04-03
600770,2006-04-03
600779,2006-04-03
600780,2006-04-03
600786,2006-04-03
600790,2006-04-03
600795,2006-04-03
600797,2006-04-03
600805,2006-04-03
600808,2006-04-03
600811,2006-04-03
600812,2006-04-03
600820,2006-04-03
600832,2006-04-03
600835,2006-04-03
600839,2006-04-03
600851,2006-04-03
600854,2006-04-03
600863,2006-04-03
600866,2006-04-03
600868,2006-04-03
600871,2006-04-03
600874,2006-04-03
600879,2006-04-03
600881,2006-04-03
600884,2006-04-03
600886,2006-04-03
600887,2006-04-03
600894,2006-04-03
600895,2006-04-03
600900,2006-04-03
600997,2006-04-03
601607,2006-04-03
000001,2006-04-03
000002,2006-04-03
000009,2006-04-03
000012,2006-04-03
000016,2006-04-03
000021,2006-04-03
000022,2006-04-03
000024,2006-04-03
000027,2006-04-03
000031,2006-04-03
000036,2006-04-03
000039,2006-04-03
000059,2006-04-03
000060,2006-04-03
000061,2006-04-03
000063,2006-04-03
000066,2006-04-03
000068,2006-04-03
000069,2006-04-03
000088,2006-04-03
000089,2006-04-03
000099,2006-04-03
000100,2006-04-03
000157,2006-04-03
000400,2006-04-03
000401,2006-04-03
000402,2006-04-03
000406,2006-04-03
000410,2006-04-03
000422,2006-04-03
000423,2006-04-03
000425,2006-04-03
000429,2006-04-03
000488,2006-04-03
000503,2006-04-03
000507,2006-04-03
000511,2006-04-03
000518,2006-04-03
000520,2006-04-03
000527,2006-04-03
000528,2006-04-03
000533,2006-04-03
000538,2006-04-03
000539,2006-04-03
000541,2006-04-03
000543,2006-04-03
000550,2006-04-03
000559,2006-04-03
000568,2006-04-03
000571,2006-04-03
000573,2006-04-03
000581,2006-04-03
000599,2006-04-03
000601,2006-04-03
000607,2006-04-03
000623,2006-04-03
000625,2006-04-03
000629,2006-04-03
000630,2006-04-03
000636,2006-04-03
000651,2006-04-03
000652,2006-04-03
000659,2006-04-03
000666,2006-04-03
000680,2006-04-03
000682,2006-04-03
000698,2006-04-03
000707,2006-04-03
000708,2006-04-03
000709,2006-04-03
000717,2006-04-03
000725,2006-04-03
000726,2006-04-03
000727,2006-04-03
000729,2006-04-03
000733,2006-04-03
000735,2006-04-03
000737,2006-04-03
000758,2006-04-03
000767,2006-04-03
000768,2006-04-03
000778,2006-04-03
000780,2006-04-03
000786,2006-04-03
000792,2006-04-03
000800,2006-04-03
000806,2006-04-03
000807,2006-04-03
000822,2006-04-03
000825,2006-04-03
000828,2006-04-03
000839,2006-04-03
000858,2006-04-03
000866,2006-04-03
000875,2006-04-03
000878,2006-04-03
000886,2006-04-03
000895,2006-04-03
000898,2006-04-03
000900,2006-04-03
000912,2006-04-03
000916,2006-04-03
000917,2006-04-03
000920,2006-04-03
000927,2006-04-03
000930,2006-04-03
000932,2006-04-03
000933,2006-04-03
000937,2006-04-03
000939,2006-04-03
000949,2006-04-03
000956,2006-04-03
000959,2006-04-03
000960,2006-04-03
000962,2006-04-03
000968,2006-04-03
